<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SANDP-500,D,20010505,000000,1266.6100000,1266.6100000,1266.6100000,1266.6100000,0
SANDP-500,D,20010506,000000,1266.6100000,1266.6100000,1266.6100000,1266.6100000,0
SANDP-500,D,20010507,000000,1266.6100000,1270.0000000,1259.1900000,1263.5100000,0
SANDP-500,D,20010508,000000,1263.5100000,1267.0100000,1253.0000000,1261.2000000,0
SANDP-500,D,20010509,000000,1261.2500000,1261.2500000,1260.9500000,1261.2000000,0
SANDP-500,D,20010510,000000,1255.5400000,1268.1400000,1254.5600000,1255.1800000,0
SANDP-500,D,20010511,000000,1255.1800000,1259.8400000,1240.7900000,1245.6700000,0
SANDP-500,D,20010512,000000,1245.0800000,1245.6700000,1245.0800000,1245.6700000,0
SANDP-500,D,20010514,000000,1245.6700000,1249.6800000,1241.0200000,1248.9200000,0
SANDP-500,D,20010515,000000,1248.9200000,1257.4500000,1245.3600000,1249.4400000,0
SANDP-500,D,20010516,000000,1249.4400000,1286.3900000,1243.0200000,1284.9900000,0
SANDP-500,D,20010517,000000,1284.9900000,1296.4800000,1282.6500000,1288.4900000,0
SANDP-500,D,20010518,000000,1288.4900000,1292.0600000,1281.1500000,1291.9600000,0
SANDP-500,D,20010519,000000,1291.8400000,1291.9600000,1291.8400000,1291.9600000,0
SANDP-500,D,20010520,000000,1291.9600000,1291.9600000,1291.9600000,1291.9600000,0
SANDP-500,D,20010521,000000,1291.9600000,1312.9500000,1287.8700000,1312.8300000,0
SANDP-500,D,20010522,000000,1314.1600000,1315.9300000,1306.8900000,1309.3800000,0
SANDP-500,D,20010523,000000,1309.3800000,1309.3800000,1288.7000000,1289.0500000,0
SANDP-500,D,20010524,000000,1289.0500000,1295.0400000,1281.2200000,1293.1700000,0
SANDP-500,D,20010525,000000,1293.1200000,1293.1300000,1276.4200000,1277.8900000,0
SANDP-500,D,20010526,000000,1278.1600000,1278.1600000,1277.8700000,1277.8900000,0
SANDP-500,D,20010528,000000,1277.8900000,1277.8900000,1277.8900000,1277.8900000,0
SANDP-500,D,20010529,000000,1276.7600000,1278.4200000,1265.4100000,1267.9300000,0
SANDP-500,D,20010530,000000,1263.5100000,1265.4400000,1245.9600000,1248.0800000,0
SANDP-500,D,20010531,000000,1248.7000000,1261.9100000,1248.0700000,1255.8200000,0
SANDP-500,D,20010601,000000,1255.8200000,1259.3700000,1248.8900000,1248.8900000,0
SANDP-500,D,20010605,000000,1267.1100000,1286.6200000,1267.1100000,1283.5700000,0
SANDP-500,D,20010606,000000,1283.8500000,1283.8500000,1269.0100000,1270.0300000,0
SANDP-500,D,20010607,000000,1269.4000000,1277.0800000,1265.0800000,1276.9600000,0
SANDP-500,D,20010608,000000,1277.1100000,1277.1100000,1259.9900000,1264.9600000,0
SANDP-500,D,20010609,000000,1264.9200000,1264.9800000,1264.9200000,1264.9600000,0
SANDP-500,D,20010611,000000,1263.7600000,1264.3300000,1249.2300000,1254.3900000,0
SANDP-500,D,20010612,000000,1252.6000000,1259.8900000,1235.7500000,1259.8900000,0
SANDP-500,D,20010613,000000,1255.8500000,1259.7500000,1241.5900000,1241.6000000,0
SANDP-500,D,20010614,000000,1239.2700000,1239.2700000,1218.9000000,1219.8700000,0
SANDP-500,D,20010615,000000,1216.6200000,1221.5000000,1203.0300000,1214.3600000,0
SANDP-500,D,20010616,000000,1214.2100000,1214.3600000,1214.2100000,1214.3600000,0
SANDP-500,D,20010618,000000,1214.5200000,1221.2300000,1208.3300000,1208.4300000,0
SANDP-500,D,20010619,000000,1208.4500000,1208.5000000,1208.4100000,1208.4300000,0
SANDP-500,D,20010620,000000,1212.5800000,1225.6100000,1210.0700000,1223.1400000,0
SANDP-500,D,20010621,000000,1222.6600000,1240.2400000,1220.2500000,1237.0400000,0
SANDP-500,D,20010622,000000,1237.5900000,1237.7300000,1221.4100000,1225.3500000,0
SANDP-500,D,20010623,000000,1224.8600000,1225.4200000,1224.8600000,1225.3500000,0
SANDP-500,D,20010625,000000,1225.3500000,1231.5000000,1225.3500000,1229.1600000,0
SANDP-500,D,20010626,000000,1218.6000000,1220.6800000,1204.6700000,1216.7600000,0
SANDP-500,D,20010627,000000,1216.7600000,1219.8700000,1207.3900000,1211.0700000,0
SANDP-500,D,20010628,000000,1211.0700000,1234.3700000,1211.0700000,1226.2000000,0
SANDP-500,D,20010629,000000,1226.2000000,1237.2700000,1221.2000000,1224.0800000,0
SANDP-500,D,20010630,000000,1224.0800000,1224.0800000,1224.0800000,1224.0800000,0
SANDP-500,D,20010701,000000,1224.0800000,1224.0800000,1224.0800000,1224.0800000,0
SANDP-500,D,20010702,000000,1224.0800000,1232.2200000,1224.0300000,1231.4800000,0
SANDP-500,D,20010703,000000,1235.9100000,1236.2100000,1229.4300000,1234.0400000,0
SANDP-500,D,20010704,000000,1234.4500000,1234.4500000,1234.4500000,1234.4500000,0
SANDP-500,D,20010705,000000,1234.0500000,1234.0500000,1219.1700000,1219.2400000,0
SANDP-500,D,20010706,000000,1219.1000000,1219.1000000,1208.8000000,1208.8000000,0
SANDP-500,D,20010709,000000,1191.1000000,1201.7600000,1189.7500000,1198.7800000,0
SANDP-500,D,20010710,000000,1200.7000000,1203.4300000,1179.9300000,1181.5200000,0
