<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDCNY,D,20000103,000000,8.2798000,8.2798000,8.2798000,8.2798000,0
USDCNY,D,20000104,000000,8.2799000,8.2799000,8.2799000,8.2799000,0
USDCNY,D,20000105,000000,8.2798000,8.2798000,8.2798000,8.2798000,0
USDCNY,D,20000106,000000,8.2797000,8.2797000,8.2797000,8.2797000,0
USDCNY,D,20000107,000000,8.2794000,8.2794000,8.2794000,8.2794000,0
USDCNY,D,20000111,000000,8.2794000,8.2794000,8.2794000,8.2794000,0
USDCNY,D,20000112,000000,8.2796000,8.2796000,8.2796000,8.2796000,0
USDCNY,D,20000113,000000,8.2798000,8.2798000,8.2798000,8.2798000,0
USDCNY,D,20000114,000000,8.2797000,8.2797000,8.2797000,8.2797000,0
USDCNY,D,20000118,000000,8.2790000,8.2790000,8.2790000,8.2790000,0
USDCNY,D,20000119,000000,8.2797000,8.2797000,8.2797000,8.2797000,0
USDCNY,D,20000120,000000,8.2794000,8.2794000,8.2794000,8.2794000,0
USDCNY,D,20000121,000000,8.2796000,8.2796000,8.2796000,8.2796000,0
USDCNY,D,20000124,000000,8.2788000,8.2788000,8.2788000,8.2788000,0
USDCNY,D,20000125,000000,8.2790000,8.2790000,8.2790000,8.2790000,0
USDCNY,D,20000126,000000,8.2782000,8.2782000,8.2782000,8.2782000,0
USDCNY,D,20000127,000000,8.2780000,8.2783000,8.2780000,8.2783000,0
USDCNY,D,20000128,000000,8.2781000,8.2781000,8.2781000,8.2781000,0
USDCNY,D,20000201,000000,8.2774000,8.2774000,8.2774000,8.2774000,0
USDCNY,D,20000202,000000,8.2770000,8.2770000,8.2770000,8.2770000,0
USDCNY,D,20000203,000000,8.2781000,8.2781000,8.2781000,8.2781000,0
USDCNY,D,20000204,000000,8.2788000,8.2788000,8.2788000,8.2788000,0
USDCNY,D,20000207,000000,8.2788000,8.2788000,8.2788000,8.2788000,0
